,Threads,MySQL,RocksDB
0,1,738.0786908455128,3290.6370449383926
1,2,1156.7218628572355,3760.381089747951
2,4,1432.5676591835518,3892.463295085605
3,6,1381.227744710705,3911.9822281192623
4,8,1370.372156496358,3846.955013283614
