,Threads,MySQL,RocksDB
0,1,1222.7802192400688,5317.884729649436
1,2,1590.341493795903,5547.626242826183
2,4,1877.278239595011,5802.882285997588
3,6,1830.4061318048382,5754.292089136851
4,8,1821.1214002813324,5598.950064562562
