,Threads,MySQL,RocksDB
0,1,1630.6792622582097,5651.972548524272
1,2,1974.4726188125267,5836.884326119995
2,4,2049.6373690691494,6055.105381987541
3,6,1893.1112381372725,5853.645509957473
4,8,1896.3625214744043,5661.500058051782
