,Threads,MySQL,RocksDB
0,1,1089.2528340473434,5147.930238664073
1,2,1657.9351818802143,5450.390913292086
2,4,1844.5460756764778,5875.255139438636
3,6,1837.188744209617,5705.21608619615
4,8,1793.556513656856,5359.399720301976
